"subj" "trial" "cond" "Initiation Time" "Mean Gaze" "Nr. Fixation" "Mean Saccade" "Entropy" "Latency Body" "First Fixation Body" "Total Fixation Body" "Mean Gaze Body" "Proportion Fixation Body" "Latency Object" "First Fixation Object" "Total Fixation Object" "Mean Gaze Object" "Proportion Fixation Object" "Latency Face" "First Fixation Face" "Total Fixation Face" "Mean Gaze Face" "Proportion Fixation Face" "Task" "Saliency" "Turbulence" "Complexity" "Clutter" "Feature Congestion" "Fixation Area"
9 2 1 486 192.8 10 314.250279211166 11.4194518212669 528 142 564 141 0.293 8 478 1004 251 0.521 1128 158 360 180 0.187 "Search" 234.5983872 6.05725228764599 0.552214724463724 "Min" 3.163311 1.76168106108742
13 2 1 466 188.909090909091 11 199.533697197219 11.2343629133268 700 138 268 134 0.129 8 458 754 251.333 0.363 512 162 1056 176 0.508 "Search" 223.538994545455 6.24203221371476 0.514277313723913 "Min" 3.163311 1.93784916719616
17 2 1 390 252.4 15 177.945487333791 11.5164706328817 644 166 1420 177.5 0.375 8 382 974 324.667 0.257 436 158 1392 348 0.368 "Search" 246.5170608 7.84562958252347 0.483356759642991 "Min" 3.163311 2.54323896699498
21 2 1 410 192.074074074074 27 246.425256777427 11.8927195851933 460 166 826 165.2 0.159 8 402 3012 188.25 0.581 3780 302 1348 224.667 0.26 "Search" 236.527654851852 16.0300223091306 0.621246743132589 "Min" 3.163311 4.30833716193212
25 2 1 454 210.666666666667 6 258.322438440652 10.8752454191033 504 206 404 202 0.32 8 446 646 215.333 0.511 992 214 214 214 0.169 "Search" 250.089933333333 4.15888308335967 0.578869136866553 "Min" 3.163311 1.05700863665245
1 2 2 546 251 8 168.547277755614 11.1428928231973 596 154 492 246 0.245 8 538 1516 252.667 0.755 0 0 0 0 0 "Search" 251.38463925 5.48063892334199 0.597062257222443 "Min" 3.163311 1.40934484886993
6 2 2 498 256.352941176471 17 307.149924636429 11.7726920288547 548 142 418 139.333 0.096 8 490 3446 265.077 0.791 3572 494 494 494 0.113 "Search" 231.099917058824 10.8806085598191 0.65211621940377 "Min" 3.163311 2.78737462795524
10 2 2 362 210 8 218.478871228835 11.2086216582375 1464 282 412 206 0.245 8 354 1074 214.8 0.639 412 194 194 194 0.115 "Search" 249.554567875 4.83401175841694 0.552772238552107 "Min" 3.163311 1.40934484886993
14 2 2 410 200.153846153846 13 242.597110539508 11.4209794804387 1084 186 554 184.667 0.213 8 402 1712 214 0.658 460 170 336 168 0.129 "Search" 257.419107461538 7.75378813504319 0.577290101964986 "Min" 3.163311 2.20221176640331
18 2 2 170 233.058823529412 17 227.749857025555 11.6741932803074 412 158 1048 174.667 0.265 8 162 2914 264.909 0.735 0 0 0 0 0 "Search" 220.4958651875 10.9339847356286 0.647965335979261 "Min" 3.163311 2.99485780384861
22 2 2 450 201.076923076923 13 174.461787929469 11.2781163432892 1692 290 290 290 0.111 164 286 2324 193.667 0.889 0 0 0 0 0 "Search" 220.041517384615 7.17257805728784 0.528521122700357 "Min" 3.163311 2.09319053978606
2 2 3 534 207.142857142857 7 223.924228781032 10.9115722873803 584 98 564 141 0.389 8 526 886 295.333 0.611 0 0 0 0 0 "Search" 230.862125714286 4.10303683346603 0.491463643104694 "Clu" 3.836374 1.23317674276119
7 2 3 410 202.727272727273 11 210.987914286679 11.3713675501404 456 122 302 100.667 0.135 8 402 1032 258 0.463 720 126 896 224 0.402 "Search" 263.260071818182 6.39358211184196 0.566610189392505 "Clu" 3.836374 1.93784916719616
11 2 3 306 128.4 15 210.958249477662 11.3196066723282 496 110 228 114 0.118 64 242 798 159.6 0.414 628 106 900 112.5 0.467 "Search" 234.748858 7.95784157313039 0.498386536426695 "Clu" 3.836374 1.73361782313494
15 2 3 110 159.714285714286 7 241.064807677652 10.9011209675691 464 146 204 102 0.182 16 94 392 196 0.351 644 142 522 174 0.467 "Search" 227.609957142857 4.13478553178061 0.521920368302175 "Clu" 3.836374 1.23317674276119
19 2 3 382 183.2 10 245.173974932342 11.4496221782383 428 126 320 160 0.175 8 374 950 190 0.519 852 222 562 187.333 0.307 "Search" 264.909568 6.22715132444138 0.599775136687171 "Clu" 3.836374 1.66553235422198
23 2 3 426 184.181818181818 11 190.593234541149 11.4828762140133 468 142 698 139.6 0.345 8 418 1012 253 0.5 644 194 316 158 0.156 "Search" 265.653531818182 7.62364194651157 0.651826686922528 "Clu" 3.836374 1.93784916719616
4 2 4 410 229.789473684211 19 239.718699921985 11.4890595017287 476 74 256 128 0.059 8 402 4008 250.5 0.918 3200 102 102 102 0.023 "Search" 240.005822631579 12.3116399819044 0.641954765681861 "Clu" 3.836374 2.34980176331831
8 2 4 398 193.684210526316 38 227.928805705174 12.1156231471 456 78 1762 160.182 0.239 8 390 5404 207.846 0.734 6340 194 194 194 0.026 "Search" 253.382372432432 24.2581319525074 0.72117103597205 "Clu" 3.836374 6.4753859514385
12 2 4 450 157.2 5 125.876997725015 10.5245249457278 0 0 0 0 0 8 442 786 157.2 1 0 0 0 0 0 "Search" 248.81915 2.72129542785223 0.432267387130984 "Clu" 3.836374 0.880840530543708
16 2 4 386 200.923076923077 26 263.664408107118 11.8734581430917 436 222 1116 186 0.214 68 318 3990 210 0.764 4096 118 118 118 0.023 "Search" 243.494624 17.1862271427466 0.691650342324376 "Clu" 3.836374 4.30829368394086
20 2 4 354 434 4 94.7744484292745 10.1818494366092 0 0 0 0 0 8 346 1736 434 1 0 0 0 0 0 "Search" 231.849115 2.77258872223978 0.50917640379489 "Clu" 3.836374 0.704672424434966
24 2 4 470 180.285714285714 21 167.774096966654 11.785112210191 520 114 806 161.2 0.213 8 462 2298 176.769 0.607 1912 118 682 227.333 0.18 "Search" 259.224565714286 13.5889401715137 0.682723227706077 "Clu" 3.836374 3.61787267845604
4 3 1 414 205.5 8 120.943313362487 10.82228978831 472 178 882 176.4 0.536 8 406 762 254 0.464 0 0 0 0 0 "Search" 273.66494125 4.0766449851227 0.402539291701364 "Min" 2.962749 1.21611191028742
8 3 1 378 209.692307692308 13 240.563163434044 11.4891284141093 428 218 816 204 0.299 8 370 1910 212.222 0.701 0 0 0 0 0 "Search" 221.0412 7.06806535855235 0.471619100756327 "Min" 2.962749 2.18979556491455
12 3 1 382 242.8 5 210.636283638482 10.8307037229001 424 258 530 176.667 0.437 8 374 684 342 0.563 0 0 0 0 0 "Search" 284.418512 2.72129542785223 0.432267387130984 "Min" 2.962749 0.880840530543708
16 3 1 358 177.666666666667 12 236.018874227398 11.2096585469913 412 174 360 180 0.169 8 350 1156 192.667 0.542 1492 242 616 154 0.289 "Search" 283.895091818182 7.40576273631002 0.562898212202245 "Min" 2.962749 2.1140172733049
20 3 1 370 249.428571428571 7 222.315717897704 10.8259981486051 416 170 1154 230.8 0.661 8 362 592 296 0.339 0 0 0 0 0 "Search" 272.654974285714 3.84710345932883 0.446119485055942 "Min" 2.962749 1.13173100395208
24 3 1 242 178 8 243.005764870632 11.3777737696955 468 230 536 268 0.376 8 234 888 148 0.624 0 0 0 0 0 "Search" 267.64527125 3.73819857888814 0.3387124871673 "Min" 2.962749 1.40934484886993
5 3 2 410 255.866666666667 15 211.454587858057 11.6427619974022 452 226 772 193 0.201 8 402 3066 278.727 0.799 0 0 0 0 0 "Search" 228.958847857143 7.85321638815607 0.482174988358865 "Min" 2.962749 2.64252159163112
9 3 2 458 252.222222222222 9 173.704187377569 11.0262810753388 704 254 404 202 0.178 32 426 1866 266.571 0.822 0 0 0 0 0 "Search" 266.225258888889 5.36129216570943 0.532856335188656 "Min" 2.962749 1.48882763435484
13 3 2 186 204.888888888889 18 235.260896555534 11.5021776433488 512 190 1040 173.333 0.282 8 178 2648 220.667 0.718 0 0 0 0 0 "Search" 251.660466111111 10.4921258871849 0.552924930626516 "Min" 2.962749 3.08615427879523
17 3 2 386 246.761904761905 21 256.606642312156 11.4971653828185 420 174 394 131.333 0.076 8 378 4502 264.824 0.869 5488 286 286 286 0.055 "Search" 244.787617894737 12.328356433442 0.589534024892417 "Min" 2.962749 3.37465786190899
21 3 2 402 241.5 32 157.397517419173 11.5199866296869 444 258 1690 338 0.219 48 354 6038 223.63 0.781 0 0 0 0 0 "Search" 237.592592903226 16.8234670629673 0.51863807311441 "Min" 2.962749 4.6636088128704
25 3 2 410 234.75 16 235.888085940124 11.5784822619039 452 274 1162 232.4 0.309 8 402 2594 235.818 0.691 0 0 0 0 0 "Search" 223.192610625 7.87366517740078 0.467651945868139 "Min" 2.962749 2.62205534170642
1 3 3 258 211.777777777778 9 233.694558141377 11.496919737877 508 214 404 202 0.212 8 250 1502 214.571 0.788 0 0 0 0 0 "Search" 213.921253333333 5.00534660834474 0.484993726566531 "Clu" 4.241852 1.58551295497867
6 3 3 418 254.705882352941 17 206.072196434757 11.8097028475398 3708 506 612 306 0.141 16 402 3718 247.867 0.859 0 0 0 0 0 "Search" 222.779335882353 11.5698349589433 0.669215721377966 "Clu" 4.241852 2.99485780384861
10 3 3 422 241.333333333333 6 203.179245128308 10.824267459539 952 246 420 210 0.29 8 414 1028 257 0.71 0 0 0 0 0 "Search" 238.082513333333 4.15888308335967 0.578869136866553 "Clu" 4.241852 0.948343170578428
14 3 3 194 226.571428571429 7 210.29914733162 11.1776477708818 488 414 580 290 0.366 8 186 1006 201.2 0.634 0 0 0 0 0 "Search" 202.344812857143 4.85203026391962 0.603256392460405 "Clu" 4.241852 1.23317674276119
18 3 3 378 209.25 16 239.185623072578 11.4758846911238 744 362 1004 251 0.3 8 370 2344 195.333 0.7 0 0 0 0 0 "Search" 239.57668375 8.04198394154597 0.483299300243402 "Clu" 4.241852 2.34240529901218
22 3 3 126 215.230769230769 13 164.986586347411 11.3474702409852 472 190 642 214 0.229 8 118 2156 215.6 0.771 0 0 0 0 0 "Search" 222.807557692308 6.9795119612109 0.528521122700357 "Clu" 4.241852 2.15072606247395
