data,acc
e1_onlypup_raw,0.418926103
e1_onlypup_raw,0.43062201
e1_onlypup_raw,0.419457735
e1_onlypup_raw,0.41573631
e1_onlypup_raw,0.428495481
e1_onlypup_raw,0.423710792
e1_onlypup_raw,0.449229134
e1_onlypup_raw,0.439659755
e1_onlyx_raw,0.477405635
e1_onlyx_raw,0.474747475
e1_onlyx_raw,0.491759702
e1_onlyx_raw,0.480063796
e1_onlyx_raw,0.487506646
e1_onlyx_raw,0.497607656
e1_onlyx_raw,0.4784689
e1_onlyx_raw,0.483785221
e1_onlyx_raw,0.467836257
e1_onlyx_raw,0.499202552
e1_onlyy_raw,0.468899522
e1_onlyy_raw,0.455077087
e1_onlyy_raw,0.454013822
e1_onlyy_raw,0.441786284
e1_onlyy_raw,0.457203615
e1_onlyy_raw,0.473152579
e1_onlyy_raw,0.472620946
e1_onlyy_raw,0.45082403
e1_onlyy_raw,0.455608719
e1_onlyy_raw,0.467836257
e9_6s_fill,0.460711331
e9_6s_fill,0.444995864
e9_6s_fill,0.455748552
e9_6s_fill,0.442514475
e9_6s_fill,0.434243176
e9_6s_fill,0.430934656
e9_6s_fill,0.464846981
e9_6s_fill,0.449958643
e9_6s_fill,0.440860215
e9_6s_fill,0.460711332
e9_6s_holl,0.484698098
e9_6s_holl,0.435897436
e9_6s_holl,0.406947891
e9_6s_holl,0.453267163
e9_6s_holl,0.444995864
e9_6s_holl,0.47229115
e9_6s_holl,0.41025641
e9_6s_holl,0.454094293
e9_6s_holl,0.441687345
e9_6s_holl,0.455748553
e9_nopup_fill,0.466501241
e9_nopup_fill,0.449958644
e9_nopup_fill,0.462365591
e9_nopup_fill,0.476426799
e9_nopup_fill,0.462365591
e9_nopup_fill,0.463192721
e9_nopup_fill,0.460711332
e9_nopup_fill,0.490488006
e9_nopup_fill,0.450785773
e9_nopup_fill,0.477253929
e9_nopup_holl,0.475599669
e9_nopup_holl,0.434243176
e9_nopup_holl,0.450785773
e9_nopup_holl,0.462365591
e9_nopup_holl,0.457402812
e9_nopup_holl,0.465674111
e9_nopup_holl,0.427626137
e9_nopup_holl,0.475599669
e9_nopup_holl,0.480562448
e9_nopup_holl,0.454921423
e9_nox_fill,0.456575683
e9_nox_fill,0.334987593
e9_nox_fill,0.464019851
e9_nox_fill,0.436724566
e9_nox_fill,0.450785773
e9_nox_fill,0.439205955
e9_nox_fill,0.391232424
e9_nox_fill,0.397022332
e9_nox_fill,0.449958643
e9_nox_fill,0.483043838
e9_nox_holl,0.387096774
e9_nox_holl,0.454921423
e9_nox_holl,0.424317618
e9_nox_holl,0.449958644
e9_nox_holl,0.459057072
e9_nox_holl,0.428453267
e9_nox_holl,0.436724566
e9_nox_holl,0.444168735
e9_nox_holl,0.445822994
e9_nox_holl,0.424317618
e9_noy_fill,0.401157982
e9_noy_fill,0.4127378
e9_noy_fill,0.387096775
e9_noy_fill,0.333333333
e9_noy_fill,0.406947891
e9_noy_fill,0.41191067
e9_noy_fill,0.398676593
e9_noy_fill,0.421009098
e9_noy_fill,0.421836228
e9_noy_fill,0.400330852
e9_noy_holl,0.388751034
e9_noy_holl,0.41025641
e9_noy_holl,0.417700579
e9_noy_holl,0.397849462
e9_noy_holl,0.383788254
e9_noy_holl,0.391232424
e9_noy_holl,0.416873449
e9_noy_holl,0.40942928
e9_noy_holl,0.392059553
e9_noy_holl,0.404466502
e9_notime_fill,0.446356856
e9_notime_fill,0.469305795
e9_notime_fill,0.472174412
e9_notime_fill,0.457831325
e9_notime_fill,0.451520367
e9_notime_fill,0.429718876
e9_notime_fill,0.473895583
e9_notime_fill,0.468158348
e9_notime_fill,0.430292599
e9_notime_fill,0.442914515
e9_notime_holl,0.484222605
e9_notime_holl,0.461273666
e9_notime_holl,0.43545611
e9_notime_holl,0.437177281
e9_notime_holl,0.460699943
e9_notime_holl,0.444061962
e9_notime_holl,0.452094091
e9_notime_holl,0.440619621
e9_notime_holl,0.448078027
e9_notime_holl,0.443488239
e9_onlypup_fill,0.334160463
e9_onlypup_fill,0.35483871
e9_onlypup_fill,0.333333333
e9_onlypup_fill,0.336641853
e9_onlypup_fill,0.333333333
e9_onlypup_fill,0.368072787
e9_onlypup_fill,0.333333333
e9_onlypup_fill,0.334160463
e9_onlypup_fill,0.333333333
e9_onlypup_fill,0.339123242
e9_onlypup_holl,0.328370554
e9_onlypup_holl,0.333333333
e9_onlypup_holl,0.334160463
e9_onlypup_holl,0.332506203
e9_onlypup_holl,0.330851944
