Sub	Image	Cond	Lat	Time	Dur	Amp	Amp1B	Amp2B	Vel	rAmp1B	rAmp2B	AbsDir180	RelDir1B180	RelDir2B180	AbsBin180	RelBin1B180	RelBin2B180
JIMP8.asc	liv4-n	P	573.3333333	7940	52	15.68080036	12.44301315	8.053398329	409.3333333	1.319837303	1.256024248	115.6869611	31.49005566	47.23152697	115	30	45
JIMP8.asc	lof1-z	P	346.8571429	6052	48.28571429	13.39162561	26.99159493	30.80089834	309.7857143	-13.99869611	-18.26249644	114.7068374	108.1256443	84.2563253	110	105	80
JIMP8.asc	mari-n	P	362.8571429	6524	40	10.27067893	15.6776693	14.19449886	295.4285714	-5.727375935	-4.985938835	126.4726497	120.1018489	139.8729007	125	120	135
JIMP8.asc	off1-z	P	310.75	6580	36	9.047941497	12.63276902	13.36382594	256.9375	-3.772384428	-5.339637352	130.7061431	112.9374041	94.73033504	130	110	90
JIMP8.asc	off2-n	P	322.8571429	6276	41.14285714	10.34699368	13.37295947	14.07452883	321.6428571	-3.569319581	-5.902141678	121.6926594	132.7598724	93.76398899	120	130	90
JIMP8.asc	pat-z	P	322.4615385	7732	38.76923077	9.636439887	11.78889679	11.88353661	280.4615385	-3.016718735	-4.209948188	130.1131813	100.2577542	97.18256884	130	100	95
JIMP8.asc	pink-n	P	283.0588235	6048	38.11764706	9.302303646	13.26708822	12.85089827	276.2352941	-4.562989354	-5.127341719	122.7245776	118.6166186	97.97044837	120	115	95
JIMP8.asc	play-z	P	237.4736842	6156	37.89473684	9.920305367	16.26777814	17.17973077	258.1578947	-6.941193915	-8.487080427	115.4144781	115.5339307	118.5044052	115	115	115
JIMP8.asc	pond-n	P	266.8571429	6952	40.19047619	10.96963502	16.94201445	18.57543	305.1428571	-6.281099294	-8.578481404	101.9698428	103.7497363	86.75514748	100	100	85
JIMP8.asc	pool2-n	P	283.1578947	6224	43.15789474	10.60741915	16.19673989	16.83780422	323.0526316	-6.244725868	-7.480230529	106.3949624	104.8128588	100.0188568	105	100	100
JIMP8.asc	poolh-z	P	312.6666667	7124	37	8.3227474	12.5674921	12.60945497	270.8333333	-4.831346043	-5.970873205	100.9544959	108.6227773	76.64526973	100	105	75
JIMP8.asc	pool-z	P	339.6666667	6036	38.33333333	8.87886239	12.3896812	14.38387949	276	-4.313578765	-7.323602283	118.9449309	110.0352578	106.3250136	115	110	105
JIMP8.asc	rest-n	P	269.5	6008	38.5	11.11372324	13.99787319	14.38848193	310.4375	-3.110148264	-3.914478958	127.7857134	125.3887436	102.2430431	125	125	100
JIMP8.asc	stable-z	P	268.6315789	6032	38.94736842	11.58001302	18.5038336	14.99025883	316.5789474	-7.731938869	-5.436597811	123.3539926	121.0017165	91.34303763	120	120	90
JIMP8.asc	stage-n	P	457.4545455	7628	30.90909091	6.398247138	8.061648545	7.573797238	241.7272727	-2.037489025	-2.887917515	110.9561033	88.75925298	71.28189349	110	85	70
JIMP8.asc	stair-z	P	369.5	7628	35	7.953748171	10.90516632	11.19631232	262.3125	-3.284632326	-4.396921894	104.012878	112.2089417	95.55582044	100	110	95
JIMP8.asc	still-n	P	367.25	6240	37.75	9.018618129	8.404182373	10.46574656	273.5625	-0.234217415	-3.099829896	105.4331577	96.35131855	101.4187087	105	95	100
JIMP8.asc	studio-z	P	279.1111111	6300	37.55555556	10.32915103	13.91398492	15.19567685	276.2222222	-3.828419687	-6.030316014	124.6593299	108.0181286	118.1041127	120	105	115
JIMP8.asc	train-n	P	259.6190476	6124	40.38095238	9.836977536	15.49726557	18.36933481	284.8095238	-6.118078467	-9.254114839	110.2894244	117.6135035	98.85285821	110	115	95
JIMP8.asc	work-z	P	570.4	3616	35.2	9.67545825	6.972028928	5.0285845	241.2	0.524675885	-3.253480504	60.43412577	79.95682393	63.94827803	60	75	60
JIMP8.asc	xmas-n	P	262.6666667	6192	38.13333333	10.12092451	16.09869286	17.46420136	279.8666667	-7.217180642	-8.739672844	111.8477498	97.48658851	104.2094821	110	95	100
JIMP9.asc	alley-n	P	365.1428571	6152	46.85714286	9.643095952	13.39673885	16.9186345	252.1428571	-3.860896101	-8.211412308	96.96672351	104.3216326	102.3552174	95	100	100
JIMP9.asc	attic2-n	P	243.1578947	6064	39.15789474	6.964513927	11.43706182	14.21194968	221.7894737	-4.649171891	-7.785815768	110.8363374	126.0805458	113.2524219	110	125	110
JIMP9.asc	attic-z	P	226.6	6520	41.8	8.378057419	12.2989104	14.92934641	224.1	-4.042445252	-6.867307115	133.8919073	121.9084329	114.5033517	130	120	110
JIMP9.asc	barn-n	P	219.6	6048	41.6	8.657692289	14.56635859	17.64334939	241.6	-6.075725293	-9.472530848	88.39557823	121.8711167	110.3454961	85	120	110
JIMP9.asc	bar-z	P	222.2857143	6136	40	8.439810517	14.46163938	16.19466108	241.3809524	-6.608391774	-8.697123512	117.2826045	128.4882333	111.3718103	115	125	110
JIMP9.asc	bath2-n	P	227.8095238	6280	43.23809524	9.546956071	15.85364648	17.10478575	265.2380952	-6.433565533	-8.201791558	111.1144625	125.8025919	125.6421441	110	125	125
JIMP9.asc	bath-z	P	252.5714286	6004	38.28571429	7.005607942	10.50400065	11.48560623	207.3809524	-3.906781215	-5.303141016	123.4945068	124.582177	111.771917	120	120	110
JIMP9.asc	bed2-n	P	181.3333333	6312	39.42857143	8.072372693	13.48360534	17.17188391	222.3809524	-5.594695148	-9.706349322	123.5305791	112.6679416	108.3776816	120	110	105
JIMP9.asc	bed3-z	P	236.5714286	6044	40.76190476	7.347410728	9.517589954	10.81843758	227.9047619	-2.480782192	-4.1359556	106.2890359	98.48231374	93.40281554	105	95	90
JIMP9.asc	bed4-n	P	229.4545455	6092	36.36363636	7.02158267	11.83802162	14.84965119	209	-4.904853591	-8.478227816	108.2410571	105.9817757	104.726744	105	105	100
JIMP9.asc	bed-z	P	247.047619	6000	42.47619048	8.624542116	12.69104771	13.10176726	248.8095238	-4.139357964	-5.013712223	92.16986894	130.8985813	106.7026488	90	130	105
JIMP9.asc	board-z	P	255.4545455	6228	41.63636364	8.075764865	11.03328807	12.75376965	224.0454545	-3.098659976	-5.437188094	129.7995272	94.94618653	82.67403558	125	90	80
JIMP9.asc	chap-n	P	233	6144	42.16666667	8.518754749	13.49694174	15.36167331	236.5833333	-5.280289962	-7.725928436	114.186242	128.3388925	116.016774	110	125	115
JIMP9.asc	cloi-z	P	234.4	6296	34.56	5.774416786	8.729498222	9.995470887	189.32	-3.041015054	-4.378154087	105.8753183	106.0235189	106.2763165	105	105	105
JIMP9.asc	comp-n	P	258.3157895	6128	41.89473684	8.808913397	14.48028386	17.45130203	233.6315789	-6.100074603	-9.426934775	103.7116893	105.5915985	111.5718959	100	105	110
JIMP9.asc	den-z	P	286.6	6280	38	6.740402515	11.47587194	12.90034707	190.95	-5.096267488	-6.925397085	116.7573675	124.6571648	113.7723113	115	120	110
JIMP9.asc	din2-z	P	295.5789474	6036	41.89473684	7.699890474	10.94677937	12.47402714	215.5263158	-3.710395346	-5.721228905	95.52053588	101.3786658	93.16573795	95	100	90
JIMP9.asc	din-n	P	296.6315789	6136	38.52631579	6.680463965	10.18627278	12.3149411	209.7894737	-3.636670001	-6.110954518	132.8317116	134.5749923	120.3993121	130	130	120
JIMP9.asc	dorm2-z	P	316.2352941	6004	43.29411765	8.132062602	13.40889383	16.76420476	234.5882353	-5.341751015	-9.247492368	86.19226828	104.2534424	107.5578198	85	100	105
JIMP9.asc	dorm-n	P	242.2857143	6012	48.38095238	11.62760795	14.82769187	17.06700313	278.4285714	-3.319446726	-5.590645435	100.6405305	112.4426697	104.7208726	100	110	100
JIMP9.asc	exer-n	P	303.2	6424	40	7.699219349	10.29866212	9.811656434	209.6	-3.000615545	-2.818015323	92.52649008	97.55095748	76.30520555	90	95	75
JIMP9.asc	fam2-n	P	273.6	6080	36	7.23611282	12.70611216	15.1929033	194.7333333	-5.634437898	-9.162643011	119.7181012	94.13051709	96.27225227	115	90	95
