cond,acc
e1nomem,0.695859873
e1nomem,0.709394904
e1nomem,0.705414013
e1nomem,0.707802548
e1nomem,0.689490446
e1nomem,0.73566879
e1nomem,0.728503185
e1nomem,0.699840764
e1nomem,0.728503185
e1nomem,0.714968153
e1nosearch,0.697767145
e1nosearch,0.692982456
e1nosearch,0.699362042
e1nosearch,0.696969697
e1nosearch,0.692982456
e1nosearch,0.677830941
e1nosearch,0.689792664
e1nosearch,0.692982456
e1nosearch,0.68261563
e1nosearch,0.699362042
e1norate,0.683413078
e1norate,0.670653907
e1norate,0.680223285
e1norate,0.688995215
e1norate,0.689792664
e1norate,0.70015949
e1norate,0.653907496
e1norate,0.666666667
e1norate,0.661881978
e1norate,0.656299841
e9nomem,0.724938875
e9nomem,0.729828851
e9nomem,0.717603912
e9nomem,0.723716381
e9nomem,0.710268948
e9nomem,0.722493888
e9nomem,0.726161369
e9nomem,0.734718826
e9nomem,0.695599022
e9nomem,0.713936431
e9nosearch,0.699266503
e9nosearch,0.691931541
e9nosearch,0.672371638
e9nosearch,0.701711491
e9nosearch,0.693154035
e9nosearch,0.683374084
e9nosearch,0.689486553
e9nosearch,0.688264058
e9nosearch,0.66992665
e9nosearch,0.680929096
e9norate,0.703658537
e9norate,0.602439024
e9norate,0.696341463
e9norate,0.630487805
e9norate,0.653658536
e9norate,0.607317074
e9norate,0.636585366
e9norate,0.692682927
e9norate,0.693902439
e9norate,0.642682927
